Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,,1,0,0,0,1
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,88.8,7.0,,1,0,0,0,1
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,,1,0,0,0,1
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,,1,0,0,0,1
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,88.8,5.0,,1,0,0,0,1
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,,0,0,1,0,1
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,,0,0,1,0,1
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,88.8,5.0,,1,0,0,0,1
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,,0,0,1,0,1
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,88.8,7.0,6.45,0,0,1,0,1
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,,1,0,0,1,0
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,88.8,5.0,,0,0,1,0,1
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,88.8,5.0,,0,0,1,0,1
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,6.41,0,0,1,0,1
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,,1,0,0,1,0
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,88.8,7.0,,1,0,0,0,1
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,,1,0,0,1,0
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,,1,0,0,1,0
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,88.8,5.0,5.13,0,0,1,0,1
112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,,0,0,1,0,1
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,88.8,5.0,54.43,1,0,0,1,0
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,88.8,5.0,,0,0,1,0,1
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,,1,0,0,0,1
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,88.8,5.0,,1,0,0,1,0
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,9.51,0,0,1,1,0
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,88.8,5.0,,0,0,1,1,0
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,9.96,1,0,0,0,1
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,,1,0,0,1,0
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,14.44,1,0,0,0,1
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,,0,0,1,0,1
124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,,0,0,1,1,0
125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,88.8,8.0,,1,0,0,0,1
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,88.8,5.0,,0,0,1,1,0
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,88.8,5.0,,0,0,1,0,1
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,,1,0,0,1,0
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,,0,0,1,0,1
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,88.8,7.0,,1,0,0,1,0
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,,0,0,1,0,1
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,4.53,0,0,1,0,1
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.04,0,0,1,1,0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,13.49,0,0,1,1,0
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,,0,0,1,0,1
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,88.8,5.0,,1,0,0,1,0
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,,0,0,1,1,0
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,88.8,5.0,,0,0,1,0,1
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,88.8,5.0,,1,0,0,1,0
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,,1,0,0,0,1
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,,0,0,1,0,1
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,88.8,7.0,,1,0,0,0,1
145,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,,0,0,1,0,1
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,,1,0,0,0,1
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,,0,0,1,0,1
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,88.8,4.0,1.28,0,0,1,1,0
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,88.8,5.0,60.88,1,0,0,1,0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,,1,0,0,1,0
151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,88.8,5.0,,1,0,0,0,1
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,,0,0,1,1,0
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,,1,0,0,1,0
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,,1,0,0,1,0
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,,0,0,1,0,1
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,,1,0,0,0,1
157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,,0,0,1,0,1
158,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,,0,0,1,0,1
159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,,0,0,1,1,0
160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,,1,0,0,0,1
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,,1,0,0,0,1
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,,0,0,1,0,1
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,88.8,7.0,,1,0,0,0,1
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,,1,0,0,0,1
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,,1,0,0,0,1
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,,1,0,0,1,0
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,88.8,5.0,,1,0,0,0,1
168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,88.8,5.0,,1,0,0,1,0
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,,1,0,0,1,0
170,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,,0,0,1,0,1
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,,0,0,1,0,1
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,88.8,5.0,,1,0,0,1,0
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,7.39,0,0,1,0,1
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,,1,0,0,1,0
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,,0,0,1,1,0
176,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,88.8,5.0,,1,0,0,1,0
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,,1,0,0,0,1
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,,1,0,0,1,0
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,,1,0,0,0,1
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,,0,0,1,1,0
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,88.8,5.0,,1,0,0,0,1
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,88.8,5.0,69.47,1,0,0,1,0
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,,0,0,1,0,1
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,,1,0,0,0,1
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,19.98,1461.0,108.5,8.0,,1,0,0,0,1
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,First,13.0,2143.0,201.1,5.0,,1,0,0,1,0
187,Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197.0,83.1,5.0,8.78,0,0,1,0,1
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,First,22.32,1582.0,126.32,5.0,,1,0,0,0,1
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,First,19.81,1086.0,68.05,5.0,,0,0,1,0,1
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,First,15.4,1997.0,88.8,7.0,,1,0,0,0,1
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,First,12.7,2179.0,187.7,5.0,,1,0,0,1,0
192,Ford Figo Diesel ZXI,Chennai,2010,120000,First,20.0,1399.0,88.8,5.0,,1,0,0,0,1
193,Maruti Ertiga ZDI,Mumbai,2016,33000,First,25.47,1248.0,88.5,7.0,12.74,1,0,0,0,1
194,Honda City 1.5 GXI,Ahmedabad,2007,60006,First,0.0,1497.0,88.8,5.0,,0,0,1,0,1
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,First,25.8,1498.0,98.6,5.0,,1,0,0,0,1
196,Hyundai i10 Magna,Jaipur,2015,43571,First,20.36,1197.0,78.9,5.0,,0,0,1,0,1
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,First,25.8,1498.0,98.6,5.0,,1,0,0,0,1
198,Skoda Laura Ambiente,Hyderabad,2008,113000,First,17.5,1896.0,88.8,5.0,,1,0,0,0,1
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,First,19.87,1461.0,83.8,5.0,,1,0,0,0,1
200,Mahindra NuvoSport N6,Chennai,2017,29000,Second,17.45,1493.0,88.8,7.0,10.52,1,0,0,0,1
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,24.3,1248.0,88.5,5.0,11.98,1,0,0,0,1
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,First,18.6,1197.0,81.83,5.0,,0,0,1,0,1
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,First,14.7,1390.0,88.8,5.0,,0,0,1,0,1
204,Tata Indigo eCS GLX,Pune,2010,70500,First,15.64,1193.0,64.1,5.0,,0,0,1,0,1
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,First,15.73,1968.0,174.33,5.0,,1,0,0,1,0
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,First,14.7,1798.0,177.5,5.0,,0,0,1,1,0
207,Toyota Etios Liva GD SP,Delhi,2014,104000,First,23.59,1364.0,67.06,5.0,,1,0,0,0,1
208,Maruti Swift 1.3 VXi,Kolkata,2010,42001,First,16.1,1497.0,88.8,5.0,,0,0,1,0,1
209,Mercedes-Benz B Class B180,Kochi,2014,37245,First,14.8,1595.0,120.7,5.0,,0,0,1,1,0
210,Honda Amaze S Diesel,Kolkata,2013,45000,First,27.4,1498.0,98.6,5.0,8.54,1,0,0,0,1
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Second,22.32,1582.0,126.32,5.0,,1,0,0,0,1
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,First,20.46,1461.0,83.8,5.0,,1,0,0,0,1
213,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Second,15.29,1591.0,121.3,5.0,,0,0,1,0,1
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,First,20.51,998.0,88.8,5.0,,0,0,1,1,0
215,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,First,11.74,1796.0,88.8,5.0,,0,0,1,1,0
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,First,11.8,2967.0,246.7,5.0,,1,0,0,1,0
217,Hyundai i10 Magna 1.1,Pune,2012,44000,Second,19.81,1086.0,68.05,5.0,,0,0,1,0,1
218,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,First,14.3,1598.0,103.52,5.0,,0,0,1,1,0
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,14.67,1798.0,177.46,5.0,33.58,0,0,1,1,0
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,First,17.19,1197.0,81.86,5.0,,0,0,1,0,1
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Second,25.8,1498.0,98.6,5.0,,1,0,0,0,1
222,Maruti Wagon R LXI,Chennai,2004,61000,Second,18.9,998.0,67.1,5.0,,0,0,1,0,1
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,First,21.03,1461.0,88.8,5.0,9.12,1,0,0,0,1
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,First,19.27,2143.0,167.62,5.0,,1,0,0,1,0
225,Maruti Wagon R VXI,Kolkata,2013,32000,First,22.5,998.0,67.04,5.0,5.29,0,0,1,0,1
226,Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,46173,Second,19.01,1461.0,108.5,5.0,,1,0,0,0,1
228,Mini Cooper Convertible S,Kochi,2017,26327,First,16.82,1998.0,189.08,4.0,44.28,0,0,1,1,0
